MAG	Depth	Bacteria	Phylum	Class	Order	Family	Genus	Species
AcS13-39	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	s__
AcS13-4	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__UBA7541	f__UBA7541	g__UBA7541	s__
AcS13-40	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Palsa-465	s__
AcS13-41	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Palsa-744	s__
AcS13-42	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__ATCC43930	f__Stellaceae	g__AP-15	s__
AcS13-43	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__PALSA-600	s__
AcS13-44	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Palsa-1005	g__VBCG01	s__
AcS13-45	Surface	d__Bacteria	p__Eremiobacterota	c__Eremiobacteria	o__Eremiobacterales	f__Eremiobacteraceae	g__	s__
AcS13-46	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__13-2-20CM-66-19	s__
AcS13-47	Surface	d__Bacteria	p__Eremiobacterota	c__Eremiobacteria	o__Eremiobacterales	f__Eremiobacteraceae	g__	s__
AcS13-48	Surface	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__SCN-69-37	g__	s__
AcS13-49	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__UBA7541	f__UBA7541	g__Palsa-295	s__
AcS13-5	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__	s__
AcS13-50	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Palsa-688	g__	s__
AcS13-51	Surface	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__	s__
AcS13-52	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__IMCC26256	f__PALSA-610	g__	s__
AcS13-53	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Rhodopila	s__
AcS13-54	Surface	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__UBA184	f__UBA184	g__	s__
AcS13-55	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Dongiales	f__Dongiaceae	g__	s__
AcS13-56	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	s__
AcS13-57	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Labraceae	g__Labrys	s__
AcS13-58	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Caballeronia	s__
AcS13-59	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__UBA1301	f__UBA1301	g__	s__
AcS13-6	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales	f__Rhodanobacteraceae	g__Rhodanobacter	s__
AcS13-60	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Palsa-465	s__
AcS13-61	Surface	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Pseudonocardiaceae	g__Pseudonocardia	s__
AcS13-62	Surface	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__UBA8621	s__
AcS13-63	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__ATCC43930	f__Stellaceae	g__	s__
AcS13-64	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Palsa-513	s__
AcS13-65	Surface	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__
AcS13-66	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Palsa-744	s__
AcS13-67	Surface	d__Bacteria	p__Eremiobacterota	c__Eremiobacteria	o__UBP12	f__UBA5184	g__Palsa-1483	s__
AcS13-68	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Palsa-465	s__
AcS13-69	Surface	d__Bacteria	p__Eremiobacterota	c__Eremiobacteria	o__Eremiobacterales	f__Eremiobacteraceae	g__	s__
AcS13-7	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__70-18	s__
AcS13-70	Surface	d__Bacteria	p__Eremiobacterota	c__Eremiobacteria	o__UBP12	f__UBA5184	g__	s__
AcS13-71	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Koribacteraceae	g__Sulfotelmatobacter	s__
AcS13-72	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Nevskiales	f__Nevskiaceae	g__Nevskia	s__
AcS13-73	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Nevskiales	f__Nevskiaceae	g__Nevskia	s__
AcS13-74	Surface	d__Bacteria	p__Bacteroidota	c__Kapabacteria	o__Palsa-1295	f__Palsa-1295	g__PALSA-1295	s__
AcS13-75	Surface	d__Bacteria	p__Chloroflexota	c__Ellin6529	o__CSP1-4	f__CSP1-4	g__Palsa-1033	s__
AcS13-76	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__Palsa-459	s__
AcS13-77	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__UBA7541	f__UBA7541	g__	s__
AcS13-78	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Palsa-744	s__
AcS13-79	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__UBA1301	f__UBA1301	g__UBA6038	s__
AcS13-8	Surface	d__Bacteria	p__Eremiobacterota	c__Eremiobacteria	o__UBP12	f__UBA5184	g__PALSA-1529	s__
AcS13-80	Surface	d__Bacteria	p__Dormibacterota	c__Dormibacteria	o__UBA8260	f__UBA8260	g__Palsa-851	s__
AcS13-81	Surface	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Palsa-1248	s__
AcS13-82	Surface	d__Bacteria	p__Dormibacterota	c__Dormibacteria	o__UBA8260	f__UBA8260	g__	s__
AcS13-83	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__	s__
AcS13-84	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__Bog-1198	s__
AcS13-85	Surface	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Streptosporangiales	f__Streptosporangiaceae	g__UBA9676	s__
AcS13-86	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Palsa-883	s__
AcS13-87	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Palsa-465	s__
AcS13-88	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__UBA7541	f__UBA7541	g__UBA7541	s__
AcS13-89	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__UBA7541	f__UBA7541	g__	s__
AcS13-9	Surface	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__Mycobacteriaceae	g__Mycobacterium	s__
AcS13-90	Surface	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__Pedosphaeraceae	g__UBA11358	s__
AcS13-91	Surface	d__Bacteria	p__Dormibacterota	c__Dormibacteria	o__UBA8260	f__UBA8260	g__Palsa-875	s__
AcS13-94	Surface	d__Bacteria	p__Dormibacterota	c__Dormibacteria	o__Dormibacterales	f__Dormibacteraceae	g__Palsa-870	s__
AcS14-1	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__ATCC43930	f__Stellaceae	g__	s__
AcS14-10	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__P52-10	s__
AcS14-100	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__UBA7541	f__UBA7541	g__Palsa-360	s__
AcS14-11	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__SG8-39	g__VBDM01	s__
AcS14-12	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Pseudolabrys	s__
AcS14-13	Surface	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__	g__	s__
AcS14-14	Surface	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__NS-4	g__SCTG01	s__
AcS14-15	Surface	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__Lacunisphaera	s__
AcS14-16	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhodomicrobiaceae	g__FEN-921	s__
AcS14-17	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__ATCC43930	f__Stellaceae	g__	s__
AcS14-18	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__SG8-41	g__	s__
AcS14-19	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__VAZQ01	s__
AcS14-2	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__UBA1301	f__UBA1301	g__	s__
AcS14-20	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Reyranellales	f__Reyranellaceae	g__Reyranella	s__
AcS14-21	Surface	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__AG2	s__
AcS14-22	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__QHXW01	s__
AcS14-23	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Gp1-AA117	g__Gp1-AA17	s__
AcS14-24	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Dongiales	f__Dongiaceae	g__	s__
AcS14-25	Surface	d__Bacteria	p__Desulfobacterota_B	c__Binatia	o__HRBIN30	f__	g__	s__
AcS14-26	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__UBA1301	f__UBA1301	g__UBA6038	s__
AcS14-27	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__UBA7541	f__UBA7541	g__	s__
AcS14-28	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Koribacteraceae	g__Bog-209	s__
AcS14-29	Surface	d__Bacteria	p__SAR324	c__SAR324	o__SAR324	f__	g__	s__
AcS14-3	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__BOG-931	s__
AcS14-30	Surface	d__Bacteria	p__Desulfobacterota_B	c__Binatia	o__UBA9968	f__UBA9968	g__	s__
AcS14-31	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Rhizobacter	s__
AcS14-32	Surface	d__Bacteria	p__Desulfobacterota_B	c__Binatia	o__UTPRO1	f__DP-6	g__	s__
AcS14-33	Surface	d__Bacteria	p__Chloroflexota	c__Ktedonobacteria	o__Ktedonobacterales	f__Ktedonobacteraceae	g__CF-113	s__
AcS14-34	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__
AcS14-35	Surface	d__Archaea	p__Thermoplasmatota	c__Thermoplasmata	o__UBA184	f__UBA184	g__	s__
AcS14-36	Surface	d__Bacteria	p__Desulfobacterota_B	c__Binatia	o__UBA9968	f__UBA9968	g__	s__
AcS14-37	Surface	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__UBA10450	g__Palsa-1392	s__
AcS14-38	Surface	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Gemmatales	f__Gemmataceae	g__	s__
AcS14-39	Surface	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Pirellulales	f__PALSA-1355	g__	s__
AcS14-4	Surface	d__Bacteria	p__Desulfobacterota_B	c__Binatia	o__Binatales	f__Binataceae	g__Binatus	s__
AcS14-40	Surface	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Gemmatales	f__Gemmataceae	g__	s__
AcS14-41	Surface	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__SCN-69-37	g__	s__
AcS14-42	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__JOSHI-001	s__
AcS14-43	Surface	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Gemmatales	f__Gemmataceae	g__	s__
AcS14-44	Surface	d__Bacteria	p__Desulfobacterota_B	c__Binatia	o__UTPRO1	f__UTPRO1	g__DP-19	s__
AcS14-45	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__ATCC43930	f__Stellaceae	g__AP-15	s__
AcS14-46	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__SG8-40	g__	s__
AcS14-47	Surface	d__Bacteria	p__Chloroflexota	c__Ellin6529	o__CSP1-4	f__CSP1-4	g__Palsa-1033	s__
AcS14-48	Surface	d__Bacteria	p__Bacteroidota	c__Ignavibacteria	o__SJA-28	f__OLB5	g__	s__
AcS14-49	Surface	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__	s__
AcS14-5	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__	s__
AcS14-50	Surface	d__Bacteria	p__Desulfobacterota_B	c__Binatia	o__HRBIN30	f__	g__	s__
AcS14-51	Surface	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	o__Nitrososphaerales	f__Nitrosopumilaceae	g__Nitrosotalea	s__
AcS14-52	Surface	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Palsa-1439	f__Palsa-1439	g__	s__
AcS14-53	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Palsa-1005	g__PALSA-1003	s__
AcS14-54	Surface	d__Bacteria	p__Acidobacteriota	c__Thermoanaerobaculia	o__UBA5066	f__Gp7-AA6	g__Gp7-AA6	s__
AcS14-55	Surface	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__	f__	g__	s__
AcS14-56	Surface	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Planctomycetales	f__UBA10511	g__	s__
AcS14-57	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Palsa-892	s__
AcS14-58	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__UBA1301	f__UBA1301	g__UBA6038	s__
AcS14-59	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__Palsa-739	s__
AcS14-6	Surface	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__GWC2-71-9	g__	s__
AcS14-60	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__UBA8190	g__	s__
AcS14-61	Surface	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__UBA10450	g__AV55	s__
AcS14-62	Surface	d__Bacteria	p__Chloroflexota	c__Ellin6529	o__CSP1-4	f__CSP1-4	g__CSP1-4	s__
AcS14-63	Surface	d__Bacteria	p__Desulfobacterota_B	c__Binatia	o__HRBIN30	f__	g__	s__
AcS14-64	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Palsa-892	s__
AcS14-65	Surface	d__Bacteria	p__Nitrospirota	c__UBA9217	o__UBA9217	f__UBA9217	g__	s__
AcS14-66	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__	s__
AcS14-67	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__	f__	g__	s__
AcS14-68	Surface	d__Bacteria	p__Cyanobacteria	c__Vampirovibrionia	o__Obscuribacterales	f__Obscuribacteraceae	g__PSRH01	s__
AcS14-69	Surface	d__Bacteria	p__Desulfobacterota_B	c__Binatia	o__UTPRO1	f__UTPRO1	g__UTPRO1	s__
AcS14-7	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Gallionellaceae	g__	s__
AcS14-70	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Dongiales	f__Dongiaceae	g__	s__
AcS14-71	Surface	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__Palsa-1315	s__
AcS14-72	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__	s__
AcS14-73	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__Palsa-459	s__
AcS14-74	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Palsa-1005	g__PALSA-1003	s__
AcS14-75	Surface	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Gemmatales	f__Gemmataceae	g__	s__
AcS14-76	Surface	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__RPRB01	s__
AcS14-77	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Dongiales	f__Dongiaceae	g__	s__
AcS14-78	Surface	d__Bacteria	p__Desulfobacterota	c__Desulfobaccia	o__Desulfobaccales	f__0-14-0-80-60-11	g__	s__
AcS14-79	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__SLND01	f__	g__	s__
AcS14-8	Surface	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__UBA8621	s__
AcS14-80	Surface	d__Bacteria	p__Acidobacteriota	c__Thermoanaerobaculia	o__UBA5704	f__UBA5704	g__UBA5704	s__
AcS14-81	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Conexibacter	s__
AcS14-82	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Hyphomicrobiaceae	g__Hyphomicrobium	s__
AcS14-83	Surface	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__UBA10450	g__Palsa-1392	s__
AcS14-84	Surface	d__Bacteria	p__Desulfobacterota_B	c__Binatia	o__HRBIN30	f__	g__	s__
AcS14-85	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Pseudolabrys	s__
AcS14-86	Surface	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Gemmatales	f__Gemmataceae	g__	s__
AcS14-87	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__	s__
AcS14-88	Surface	d__Bacteria	p__Desulfobacterota_B	c__Binatia	o__Binatales	f__Binataceae	g__	s__
AcS14-89	Surface	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__PMG-095	s__
AcS14-9	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__UBA7541	f__UBA7541	g__	s__
AcS14-91	Surface	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__RPRB01	s__
AcS14-92	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__
AcS14-98	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__SG8-39	g__2-12-FULL-64-23	s__
AcS15-1	Surface	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Streptosporangiales	f__Streptosporangiaceae	g__Bog-532	s__
AcS15-10	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Bog-159	s__
AcS15-100	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Palsa-513	s__
AcS15-101	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Palsa-883	s__
AcS15-102	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Palsa-744	s__
AcS15-103	Surface	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Streptosporangiales	f__Streptosporangiaceae	g__Palsa-504	s__
AcS15-104	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Palsa-744	s__
AcS15-105	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Palsa-688	g__	s__
AcS15-106	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__	s__
AcS15-107	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__Bog-473	s__
AcS15-108	Surface	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
AcS15-109	Surface	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
AcS15-11	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Bradyrhizobium	s__
AcS15-110	Surface	d__Bacteria	p__Myxococcota	c__XYA12-FULL-58-9	o__	f__	g__	s__
AcS15-112	Surface	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Chitinophagaceae	g__UBA8621	s__
AcS15-113	Surface	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Gemmatales	f__Gemmataceae	g__	s__
AcS15-114	Surface	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Streptosporangiales	f__Streptosporangiaceae	g__Palsa-506	s__
AcS15-12	Surface	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
AcS15-13	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Koribacteraceae	g__Bog-257	s__
AcS15-14	Surface	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Pirellulales	f__	g__	s__
AcS15-15	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Bog-159	s__
AcS15-16	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Steroidobacterales	f__Steroidobacteraceae	g__Bog-1198	s__
AcS15-17	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
AcS15-18	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__QHXW01	s__
AcS15-19	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Dongiales	f__Dongiaceae	g__	s__
AcS15-2	Surface	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Palsa-1439	f__Palsa-1439	g__Palsa-1439	s__
AcS15-20	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__IMCC26256	f__PALSA-555	g__PALSA-555	s__
AcS15-21	Surface	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__Palsa-1447	s__
AcS15-22	Surface	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__RPRB01	s__
AcS15-23	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__
AcS15-24	Surface	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Gemmatales	f__Gemmataceae	g__	s__
AcS15-25	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhodomicrobiaceae	g__FEN-921	s__
AcS15-26	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__BOG-935	s__
AcS15-27	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Palsa-89	s__
AcS15-28	Surface	d__Bacteria	p__Eremiobacterota	c__Eremiobacteria	o__Eremiobacterales	f__Eremiobacteraceae	g__	s__
AcS15-29	Surface	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Streptosporangiales	f__Streptosporangiaceae	g__Palsa-504	s__
AcS15-3	Surface	d__Bacteria	p__Eremiobacterota	c__Eremiobacteria	o__UBP12	f__UBA5184	g__Palsa-1483	s__
AcS15-30	Surface	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__UBA6186	f__UBA6186	g__	s__
AcS15-31	Surface	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__Pedosphaeraceae	g__UBA11358	s__
AcS15-32	Surface	d__Bacteria	p__Desulfobacterota_B	c__Binatia	o__Binatales	f__Binataceae	g__	s__
AcS15-33	Surface	d__Bacteria	p__Eremiobacterota	c__Eremiobacteria	o__Eremiobacterales	f__Eremiobacteraceae	g__	s__
AcS15-34	Surface	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__	g__	s__
AcS15-35	Surface	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Palsa-1150	s__
AcS15-36	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Koribacteraceae	g__	s__
AcS15-37	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Palsa-744	s__
